detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,1000,0.5,linear,10.0,0.01,0.40199344348749183,0.403,18.549296855926514,18.549296855926514
SIFT,500,4,1000,0.5,linear,10.0,0.001,0.40199344348749183,0.403,18.402883052825928,18.402883052825928
SIFT,500,4,1000,0.5,rbf,0.1,scale,0.4576289771658943,0.458,25.53941512107849,25.53941512107849
SIFT,500,4,1000,0.5,rbf,0.1,0.01,0.40339650382272463,0.356,14.038574695587158,14.038574695587158
SIFT,500,4,1000,0.5,rbf,0.1,0.001,0.40497349432496427,0.345,13.522023916244507,13.522023916244507
SIFT,500,4,1000,0.5,rbf,1.0,scale,0.45687987955806,0.462,23.04450821876526,23.04450821876526
SIFT,500,4,1000,0.5,rbf,1.0,0.01,0.40199988622380173,0.413,14.645317792892456,14.645317792892456
SIFT,500,4,1000,0.5,rbf,1.0,0.001,0.4002125249058651,0.319,13.224991083145142,13.224991083145142
SIFT,500,4,1000,0.5,rbf,10.0,scale,0.42503165049330854,0.43,25.92769503593445,25.92769503593445
SIFT,500,4,1000,0.5,rbf,10.0,0.01,0.40287676925663424,0.408,13.902526140213013,13.902526140213013
SIFT,500,4,1000,0.5,rbf,10.0,0.001,0.39627261183244655,0.397,11.953505039215088,11.953505039215088
SIFT,500,4,1500,0.3,linear,0.1,scale,0.40767588834096224,0.411,46.72124695777893,46.72124695777893
SIFT,500,4,1500,0.3,linear,0.1,0.01,0.40767588834096224,0.411,47.959189891815186,47.959189891815186
SIFT,500,4,1500,0.3,linear,0.1,0.001,0.40767588834096224,0.411,54.05434703826904,54.05434703826904
SIFT,500,4,1500,0.3,linear,1.0,scale,0.4088458852633431,0.413,58.646987199783325,58.646987199783325
SIFT,500,4,1500,0.3,linear,1.0,0.01,0.4088458852633431,0.413,60.044464111328125,60.044464111328125
SIFT,500,4,1500,0.3,linear,1.0,0.001,0.4088458852633431,0.413,60.19114708900452,60.19114708900452
SIFT,500,4,1500,0.3,linear,10.0,scale,0.40911844537821995,0.416,60.55878710746765,60.55878710746765
